widget_type	stateless	stateful	source	zero_size	minimal	clipped	resize	state_transition	snapshot	toolkit	semantics	keyboard	pointer
Wicked.AnsiView	true	true	src/MediaWidgets.jl	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	n/a:no pointer handler
Wicked.BrailleImage	true	false	src/MediaWidgets.jl	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	n/a:stateless render contract	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Breadcrumb	true	true	src/DataWidgets.jl	test/new_widget_families.jl:data navigation toolkit semantics	test/new_widget_families.jl:data navigation toolkit semantics	test/new_widget_families.jl:data navigation toolkit semantics	test/new_widget_families.jl:data navigation toolkit semantics	test/new_widget_families.jl:data navigation toolkit semantics	test/new_widget_families.jl:data navigation toolkit semantics	test/new_widget_families.jl:data navigation toolkit semantics	test/new_widget_families.jl:data navigation toolkit semantics	test/new_widget_families.jl:data navigation toolkit semantics	test/new_widget_families.jl:data navigation toolkit semantics
Wicked.Card	true	false	src/AcceptanceWidgets.jl	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	n/a:stateless render contract	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.CodeEditor	true	true	src/EditingWidgets.jl	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics
Wicked.CodeView	true	true	src/AcceptanceWidgets.jl	test/new_widget_families.jl:code and diff view toolkit semantics	test/new_widget_families.jl:code and diff view toolkit semantics	test/new_widget_families.jl:code and diff view toolkit semantics	test/new_widget_families.jl:code and diff view toolkit semantics	test/new_widget_families.jl:code and diff view toolkit semantics	test/new_widget_families.jl:code and diff view toolkit semantics	test/new_widget_families.jl:code and diff view toolkit semantics	test/new_widget_families.jl:code and diff view toolkit semantics	test/new_widget_families.jl:code and diff view toolkit semantics	test/new_widget_families.jl:code and diff view toolkit semantics
Wicked.ColorPicker	true	true	src/MediaWidgets.jl	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	n/a:no pointer handler
Wicked.ContextMenu	false	true	src/AcceptanceWidgets.jl	test/new_widget_families.jl:menu action toolkit semantics	test/new_widget_families.jl:menu action toolkit semantics	test/new_widget_families.jl:menu action toolkit semantics	test/new_widget_families.jl:menu action toolkit semantics	test/new_widget_families.jl:menu action toolkit semantics	test/new_widget_families.jl:menu action toolkit semantics	test/new_widget_families.jl:menu action toolkit semantics	test/new_widget_families.jl:menu action toolkit semantics	test/new_widget_families.jl:menu action toolkit semantics	test/new_widget_families.jl:menu action toolkit semantics
Wicked.DataGrid	true	true	src/DataWidgets.jl	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics
Wicked.DateInput	false	true	src/AcceptanceWidgets.jl	test/new_widget_families.jl:date and time input toolkit semantics	test/new_widget_families.jl:date and time input toolkit semantics	test/new_widget_families.jl:date and time input toolkit semantics	test/new_widget_families.jl:date and time input toolkit semantics	test/new_widget_families.jl:date and time input toolkit semantics	test/new_widget_families.jl:date and time input toolkit semantics	test/new_widget_families.jl:date and time input toolkit semantics	test/new_widget_families.jl:date and time input toolkit semantics	test/new_widget_families.jl:date and time input toolkit semantics	test/new_widget_families.jl:date and time input toolkit semantics
